C2,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
40451.9375,0.97072,1.36491,1.57625,0.7381,1.0251,0.97655,83.395
40451.94792,0.96795,1.36519,1.57555,0.73535,1.02585,0.97685,83.535
40451.95833,0.96622,1.36055,1.5702,0.734,1.02905,0.9802,83.54
40451.96875,0.96316,1.35843,1.57055,0.73195,1.0324,0.9808,83.555
40451.97917,0.96382,1.35851,1.5718,0.73225,1.0295,0.9808,83.585
40451.98958,0.96382,1.35993,1.57275,0.73265,1.0293,0.9808,83.535
40452,0.96353,1.36028,1.57375,0.7318,1.0288,0.98055,83.53
40452.01042,0.96474,1.36045,1.57195,0.7328,1.0276,0.9808,83.515
40452.02083,0.96538,1.36163,1.5717,0.73365,1.0284,0.9808,83.48
40452.03125,0.96557,1.36187,1.57265,0.7337,1.02915,0.98075,83.45
40452.04167,0.96536,1.36201,1.57155,0.73325,1.02955,0.9821,83.515
40452.05208,0.96516,1.36186,1.57135,0.73345,1.0295,0.98215,83.475
40452.0625,0.96471,1.36144,1.5708,0.73335,1.02955,0.98125,83.48
40452.07292,0.96489,1.36216,1.5702,0.7335,1.0302,0.98205,83.47
40452.08333,0.96372,1.36068,1.56725,0.73295,1.03155,0.9832,83.515
40452.09375,0.96476,1.36139,1.5682,0.734,1.02975,0.9832,83.485
40452.10417,0.96646,1.36299,1.57035,0.73515,1.02865,0.98245,83.405
40452.11458,0.96692,1.36402,1.5714,0.735,1.0277,0.9816,83.395
40452.125,0.96624,1.36253,1.5706,0.73435,1.0285,0.9828,83.47
40452.13542,0.96675,1.36338,1.57095,0.7346,1.02795,0.982,83.455
40452.14583,0.9665,1.3632,1.5709,0.7343,1.02865,0.98225,83.505
40452.15625,0.96635,1.3631,1.5709,0.73355,1.02895,0.98255,83.47
40452.16667,0.96708,1.36369,1.5715,0.73405,1.02845,0.98175,83.485
40452.17708,0.9668,1.36395,1.5716,0.7338,1.02865,0.9821,83.465
40452.1875,0.96688,1.36362,1.57165,0.73405,1.0288,0.9826,83.485
40452.19792,0.967,1.36333,1.57155,0.73415,1.02915,0.98245,83.51
40452.20833,0.96674,1.36315,1.57105,0.73425,1.029,0.982,83.465
40452.21875,0.96638,1.36285,1.57095,0.734,1.02905,0.9828,83.47
40452.22917,0.9658,1.36267,1.57095,0.73355,1.0295,0.9831,83.48
40452.23958,0.96567,1.36278,1.57105,0.7337,1.0299,0.98345,83.495
40452.25,0.96547,1.36232,1.5709,0.73355,1.03005,0.9835,83.575
40452.26042,0.96562,1.36246,1.5714,0.73355,1.02968,0.98365,83.55
40452.27083,0.96552,1.36229,1.5714,0.73343,1.02985,0.9831,83.56
40452.28125,0.96452,1.36192,1.5713,0.73335,1.0309,0.98385,83.56
40452.29167,0.96379,1.36179,1.57185,0.7336,1.031,0.98345,83.55
40452.30208,0.96397,1.36232,1.5722,0.7339,1.031,0.98315,83.535
40452.3125,0.96504,1.36273,1.5729,0.7347,1.03045,0.98145,83.53
40452.32292,0.96532,1.36295,1.57305,0.73505,1.0305,0.98205,83.505
40452.33333,0.96682,1.36458,1.5728,0.73565,1.02975,0.98125,83.53
40452.34375,0.96663,1.36496,1.57275,0.7355,1.02925,0.98065,83.475
40452.35417,0.96697,1.36546,1.5735,0.7355,1.0289,0.9806,83.48
40452.36458,0.96685,1.36481,1.5728,0.7356,1.02935,0.9808,83.47
40452.375,0.96989,1.3656,1.5738,0.73675,1.02845,0.97875,83.46
40452.38542,0.96917,1.36524,1.57335,0.736,1.0289,0.97945,83.5
40452.39583,0.9694,1.36523,1.57295,0.7362,1.02915,0.9807,83.46
40452.40625,0.96941,1.36536,1.5732,0.7367,1.029,0.98115,83.46
40452.41667,0.96927,1.36501,1.5726,0.73685,1.02915,0.98185,83.5
40452.42708,0.96924,1.36561,1.5729,0.73665,1.02905,0.9821,83.51
40452.4375,0.96897,1.36543,1.5727,0.7369,1.02915,0.98165,83.525
40452.44792,0.96875,1.36539,1.5726,0.7367,1.0292,0.98115,83.5
40452.45833,0.96891,1.36551,1.5726,0.73675,1.02905,0.9805,83.5
40452.46875,0.96935,1.36596,1.573,0.73715,1.02885,0.98015,83.47
40452.47917,0.96901,1.36554,1.573,0.73705,1.0286,0.9795,83.435
40452.48958,0.96833,1.36572,1.57305,0.73695,1.02935,0.98015,83.38
40452.5,0.96825,1.36556,1.57305,0.73695,1.0294,0.97965,83.44
40452.51042,0.96756,1.36564,1.5733,0.73695,1.02965,0.97995,83.46
40452.52083,0.96726,1.36555,1.574,0.73665,1.0299,0.9812,83.46
40452.53125,0.96675,1.36646,1.5748,0.7365,1.0302,0.9806,83.43
40452.54167,0.96695,1.36601,1.5742,0.73615,1.03,0.9805,83.43
40452.55208,0.96736,1.36622,1.57425,0.73605,1.02955,0.9802,83.45
40452.5625,0.96625,1.3656,1.57355,0.7352,1.03015,0.9806,83.45
40452.57292,0.96559,1.36385,1.5723,0.73475,1.031,0.9809,83.485
40452.58333,0.96637,1.36417,1.57235,0.73545,1.03085,0.98075,83.45
40452.59375,0.96627,1.36404,1.5712,0.7359,1.03055,0.97995,83.455
40452.60417,0.96666,1.36492,1.5727,0.73635,1.03055,0.97925,83.435
40452.61458,0.96674,1.36484,1.5728,0.7367,1.03075,0.97965,83.44
40452.625,0.96876,1.36741,1.57545,0.7382,1.0301,0.97865,83.435
40452.63542,0.96921,1.36749,1.5763,0.73945,1.0296,0.98085,83.405
40452.64583,0.96943,1.36696,1.5768,0.73935,1.0301,0.98205,83.385
40452.65625,0.96874,1.36756,1.5778,0.73925,1.0308,0.98025,83.33
40452.66667,0.96891,1.3686,1.57985,0.73865,1.02975,0.98005,83.375
40452.67708,0.97059,1.37145,1.58075,0.73995,1.02855,0.97885,83.29
40452.6875,0.97079,1.37185,1.5792,0.7393,1.02855,0.97845,83.285
40452.69792,0.97178,1.37201,1.5808,0.7395,1.0278,0.97925,83.265
40452.70833,0.97227,1.37255,1.5819,0.7396,1.02765,0.9791,83.26
40452.71875,0.97289,1.37425,1.58435,0.73995,1.02675,0.977,83.22
40452.72917,0.97202,1.37465,1.5851,0.74005,1.0273,0.9785,83.21
40452.73958,0.97217,1.37356,1.5851,0.7391,1.0271,0.9787,83.19
40452.75,0.97184,1.37358,1.585,0.73905,1.0264,0.97835,83.22
40452.76042,0.97261,1.37478,1.5857,0.7401,1.02555,0.97735,83.17
40452.77083,0.97196,1.3733,1.5843,0.73915,1.0258,0.97795,83.17
40452.78125,0.97122,1.37227,1.58245,0.7386,1.0272,0.9786,83.18
40452.79167,0.97082,1.37294,1.58285,0.73855,1.02725,0.9773,83.19
40452.80208,0.9707,1.37283,1.58315,0.7391,1.027,0.9772,83.175
40452.8125,0.97077,1.37225,1.58355,0.73895,1.0269,0.97755,83.205
40452.82292,0.97112,1.37301,1.58305,0.73895,1.026,0.97795,83.245
40452.83333,0.97247,1.37244,1.58185,0.7397,1.02615,0.9779,83.25
40452.84375,0.97238,1.37266,1.58325,0.74,1.0259,0.977,83.23
40452.85417,0.97215,1.37155,1.5816,0.7415,1.026,0.97785,83.31
40452.86458,0.97241,1.37376,1.58345,0.7422,1.0256,0.97635,83.27
40452.875,0.97142,1.37228,1.58125,0.74175,1.02645,0.9777,83.355
40452.88542,0.97226,1.37303,1.5823,0.74205,1.0263,0.978,83.335
40452.89583,0.97185,1.37365,1.583,0.74215,1.0263,0.97795,83.335
40452.90625,0.97135,1.37425,1.58085,0.74235,1.02625,0.97885,83.35
40452.91667,0.97247,1.37656,1.58285,0.74255,1.02515,0.97545,83.21
40452.92708,0.97008,1.37484,1.5824,0.74205,1.0263,0.97665,83.23
40452.9375,0.96958,1.37423,1.58175,0.74105,1.0271,0.97655,83.27
40452.94792,0.97001,1.37448,1.58095,0.7421,1.02355,0.97525,83.285
40452.95833,0.96907,1.37458,1.58175,0.74075,1.0247,0.97635,83.26
